1, 37,21,13,67,10376
2, 39,22,14,71,10377
3, 35,18,13,61,10378
4, 41,19,16,71,10379
5, 40,19,15,70,10380
6, 32,14,11,55,10381
7, 32,18,11,58,10382
8, 34,19,12,61,10383
9, 32,18,11,58,10384
10, 32,18,11,58,10385
11, 37,19,13,67,10386
12, 40,21,14,73,10387
13, 28,12,9,48,10388
14, 35,18,14,62,10389
15, 35,18,14,62,10390
16, 22,8,7,35,10391
17, 33,15,11,56,10392
18, 33,15,12,57,10393
19, 28,14,10,49,10394
20, 57,30,21,103,10395
21, 51,26,18,90,10396
22, 30,15,11,53,10397
23, 31,16,11,54,10398
24, 28,11,9,47,10399
25, 32,14,11,56,10400
26, 33,17,11,59,10401
27, 40,22,14,73,10402
28, 40,22,14,72,10403
29, 44,23,16,80,10404
30, 36,18,13,62,10418
31, 30,14,11,52,10419
32, 30,14,11,52,10420
33, 32,16,12,56,10421
34, 37,18,14,65,10422
35, 34,16,12,59,10423
36, 41,19,15,68,10424
37, 37,18,13,64,10425
38, 32,14,11,53,10426
39, 36,17,13,62,10427
40, 35,17,13,60,10428
41, 28,12,10,48,10429
42, 41,20,15,72,10430
43, 32,15,11,54,10431
44, 36,17,13,62,10432
45, 33,15,12,57,10433
46, 29,14,11,52,10434
47, 31,15,12,56,10435
48, 32,16,12,57,10436
49, 39,21,14,70,10437
50, 41,21,15,74,10438
51, 38,18,14,66,10439
52, 47,25,18,84,10440
53, 46,24,18,83,10441
54, 38,20,14,68,10442
55, 43,22,17,76,10443
56, 40,20,15,70,10444
57, 35,17,12,61,10445
58, 45,22,16,78,10446
59, 43,20,15,75,10447
60, 32,17,14,58,10457
61, 32,17,14,59,10458
62, 32,16,12,56,10459
63, 32,17,13,58,10460
64, 33,17,13,59,10461
65, 37,17,14,63,10462
66, 37,19,15,66,10463
67, 40,20,15,69,10464
68, 36,19,14,64,10465
69, 32,15,11,54,10466
70, 36,16,13,62,10467
71, 29,12,10,47,10468
72, 32,14,12,57,10469
73, 34,14,12,55,10470
74, 43,20,17,74,10471
75, 25,9,8,41,10472
76, 36,17,14,62,10473
77, 29,13,10,48,10474
78, 30,14,11,52,10475
79, 29,13,10,49,10476
80, 34,16,12,59,10477
81, 33,15,12,57,10478
82, 32,14,11,54,10479
83, 32,18,15,61,10493
84, 34,19,16,63,10494
85, 33,16,12,55,10495
86, 42,22,18,76,10496
87, 33,17,13,61,10497
88, 37,17,14,62,10498
89, 41,19,15,70,10499
90, 48,22,20,88,10500
91, 60,28,23,106,10501
92, 42,17,14,68,10502
93, 36,15,13,60,10503
94, 43,18,16,73,10504
95, 42,20,17,76,10505
96, 56,23,21,93,10506
97, 48,21,18,81,10507
98, 63,30,26,113,10508
99, 56,25,22,97,10509
100, 60,29,25,108,10510
101, 52,23,20,90,10511
102, 33,14,12,55,10512
103, 34,15,13,58,10513
104, 26,11,9,44,10514
105, 28,12,11,49,10515
106, 33,13,12,55,10516
107, 26,9,8,42,10517
108, 39,19,16,69,10518
109, 35,16,14,61,10519
110, 35,15,13,61,10520
111, 36,15,13,61,10521
112, 36,15,13,60,10522
