1, 16,4,5,23,10127
2, 16,4,5,23,10128
3, 13,4,4,19,10129
4, 9,3,4,13,10130
5, 8,3,4,13,10131
6, 8,3,4,13,10132
7, 7,5,6,17,10133
8, 6,4,5,11,10134
9, 7,4,5,12,10135
10, 9,3,4,14,10136
11, 8,3,4,13,10137
12, 9,3,4,14,10138
13, 15,4,5,21,10139
14, 15,5,5,22,10140
15, 15,5,5,23,10141
16, 19,5,6,28,10142
17, 23,5,7,33,10143
18, 23,5,7,33,10144
19, 22,6,7,33,10145
20, 27,9,10,44,10146
21, 24,8,9,39,10147
22, 26,11,12,46,10148
23, 19,7,7,31,10149
24, 22,7,8,35,10150
25, 22,6,8,33,10151
26, 18,5,6,26,10152
27, 19,5,6,28,10153
28, 10,3,4,16,10154
29, 7,3,4,13,10155
30, 13,4,5,19,10156
31, 14,6,8,27,10157
32, 16,7,8,31,10158
33, 17,7,8,31,10159
34, 21,6,8,32,10171
35, 19,5,7,28,10172
36, 17,4,6,25,10173
37, 24,6,9,36,10174
38, 24,6,9,35,10175
39, 24,6,9,37,10176
40, 22,5,7,32,10177
41, 29,6,9,42,10178
42, 31,6,10,45,10179
43, 28,9,10,43,10180
44, 32,6,9,45,10181
45, 33,7,11,49,10182
46, 30,7,10,43,10183
47, 25,10,11,43,10184
48, 31,10,13,50,10185
49, 30,9,12,46,10186
50, 32,12,16,56,10187
51, 29,8,12,45,10188
52, 23,6,9,35,10189
53, 15,5,6,23,10190
54, 49,10,17,68,10191
55, 38,8,12,52,10192
56, 19,5,6,28,10193
57, 32,10,14,51,10194
58, 31,10,14,52,10195
59, 14,6,6,23,10196
60, 12,5,6,20,10197
61, 19,7,8,31,10198
62, 30,9,12,46,10199
63, 28,9,12,43,10200
64, 25,9,11,39,10201
65, 19,5,7,29,10224
66, 13,4,5,20,10225
67, 17,6,8,29,10226
68, 16,6,7,25,10227
69, 14,5,7,23,10228
70, 15,6,7,24,10229
71, 24,7,10,38,10230
72, 29,8,13,46,10231
73, 13,6,9,28,10232
74, 46,16,23,78,10233
75, 38,13,18,62,10234
76, 23,6,8,34,10235
77, 31,9,13,49,10236
78, 25,7,8,39,10237
79, 39,22,25,79,10238
80, 46,28,33,100,10239
81, 25,7,9,38,10240
82, 32,11,13,53,10241
83, 19,6,6,28,10242
84, 28,12,12,47,10243
85, 29,10,14,49,10244
86, 30,11,15,52,10245
87, 20,7,8,31,10246
88, 18,6,7,28,10247
89, 21,4,8,30,10260
90, 19,4,7,28,10261
91, 15,4,5,21,10262
92, 14,4,5,21,10263
93, 16,5,6,27,10264
94, 14,6,7,29,10265
95, 12,7,7,29,10266
96, 10,4,4,16,10267
97, 16,4,5,22,10268
98, 18,5,6,26,10269
99, 20,5,7,30,10270
100, 22,5,8,33,10271
101, 23,5,7,33,10272
102, 22,5,7,31,10273
103, 37,10,16,58,10274
104, 44,12,15,68,10275
105, 37,12,14,58,10276
106, 36,7,12,53,10277
107, 35,7,11,50,10278
108, 35,14,17,61,10279
109, 35,14,17,61,10280
110, 27,6,9,38,10281
111, 24,6,8,36,10282
112, 27,6,10,40,10283
113, 29,8,11,45,10284
114, 31,7,11,47,10285
115, 30,8,12,47,10286
